State,Year,Data Value
AK,2015,165
AK,2016,1163
AK,2017,1110
AK,2018,990
AK,2019,136
AZ,2017,6208
AZ,2018,12331
AZ,2019,2295
CT,2015,7164
CT,2016,9528
CT,2017,11231
CT,2018,11444
CT,2019,1918
DC,2015,1050
DC,2016,1989
DC,2017,3454
DC,2018,2639
DC,2019,440
DE,2018,3291
DE,2019,724
GA,2015,4421
GA,2016,10280
GA,2017,11903
GA,2018,10995
GA,2019,1688
HI,2016,802
HI,2017,345
HI,2018,497
HI,2019,127
IA,2015,1944
IA,2016,1730
IA,2017,2353
IA,2018,2065
IA,2019,271
IL,2015,13319
IL,2016,20928
IL,2017,25081
IL,2018,26834
IL,2019,4278
KY,2018,11529
KY,2019,1977
MA,2015,1549
MA,2016,21377
MA,2017,22936
MA,2018,23875
MA,2019,3916
MD,2015,12081
MD,2016,17918
MD,2017,24210
MD,2018,25792
MD,2019,4266
ME,2015,2563
ME,2016,3222
ME,2017,3875
ME,2018,3965
ME,2019,549
NC,2015,12645
NC,2016,16343
NC,2017,20824
NC,2018,22001
NC,2019,3481
NH,2015,4454
NH,2016,4758
NH,2017,5021
NH,2018,5040
NH,2019,734
NJ,2018,16729
NJ,2019,5057
NM,2015,4586
NM,2016,4218
NM,2017,4199
NM,2018,3958
NM,2019,650
NV,2015,4916
NV,2016,5388
NV,2017,5029
NV,2018,4950
NV,2019,823
NY,2015,15855
NY,2016,20733
NY,2017,24694
NY,2018,22674
NY,2019,3508
OH,2015,22895
OH,2016,38043
OH,2017,51201
OH,2018,42480
OH,2019,6570
OK,2015,5563
OK,2016,4996
OK,2017,5171
OK,2018,3896
OK,2019,574
OR,2015,4065
OR,2016,3863
OR,2017,3856
OR,2018,4242
OR,2019,670
RI,2015,2976
RI,2016,3341
RI,2017,3448
RI,2018,3345
RI,2019,572
SC,2015,6428
SC,2016,6862
SC,2017,8447
SC,2018,9332
SC,2019,1659
SD,2015,146
SD,2016,165
SD,2017,482
SD,2018,354
SD,2019,50
TN,2015,8806
TN,2016,13583
TN,2017,14969
TN,2018,15354
TN,2019,2647
UT,2015,5333
UT,2016,6005
UT,2017,5332
UT,2018,5539
UT,2019,867
VA,2015,9295
VA,2016,11715
VA,2017,13957
VA,2018,14204
VA,2019,2446
VT,2015,851
VT,2016,1078
VT,2017,1332
VT,2018,1374
VT,2019,241
WA,2015,8296
WA,2016,8894
WA,2017,8409
WA,2018,8902
WA,2019,1476
WI,2015,1288
WI,2016,8474
WI,2017,10817
WI,2018,10625
WI,2019,1658
WV,2015,7341
WV,2016,8172
WV,2017,10024
WV,2018,9249
WV,2019,1432
WY,2017,404
WY,2018,497
WY,2019,83
