state_id,Year,Data Value
2,2015,165
2,2016,1163
2,2017,1110
2,2018,990
2,2019,136
3,2017,6208
3,2018,12331
3,2019,2295
7,2015,7164
7,2016,9528
7,2017,11231
7,2018,11444
7,2019,1918
8,2018,3291
8,2019,724
10,2015,4421
10,2016,10280
10,2017,11903
10,2018,10995
10,2019,1688
11,2016,802
11,2017,345
11,2018,497
11,2019,127
15,2015,1944
15,2016,1730
15,2017,2353
15,2018,2065
15,2019,271
13,2015,13319
13,2016,20928
13,2017,25081
13,2018,26834
13,2019,4278
17,2018,11529
17,2019,1977
21,2015,1549
21,2016,21377
21,2017,22936
21,2018,23875
21,2019,3916
20,2015,12081
20,2016,17918
20,2017,24210
20,2018,25792
20,2019,4266
19,2015,2563
19,2016,3222
19,2017,3875
19,2018,3965
19,2019,549
33,2015,12645
33,2016,16343
33,2017,20824
33,2018,22001
33,2019,3481
29,2015,4454
29,2016,4758
29,2017,5021
29,2018,5040
29,2019,734
30,2018,16729
30,2019,5057
31,2015,4586
31,2016,4218
31,2017,4199
31,2018,3958
31,2019,650
28,2015,4916
28,2016,5388
28,2017,5029
28,2018,4950
28,2019,823
32,2015,15855
32,2016,20733
32,2017,24694
32,2018,22674
32,2019,3508
35,2015,22895
35,2016,38043
35,2017,51201
35,2018,42480
35,2019,6570
36,2015,5563
36,2016,4996
36,2017,5171
36,2018,3896
36,2019,574
37,2015,4065
37,2016,3863
37,2017,3856
37,2018,4242
37,2019,670
39,2015,2976
39,2016,3341
39,2017,3448
39,2018,3345
39,2019,572
40,2015,6428
40,2016,6862
40,2017,8447
40,2018,9332
40,2019,1659
41,2015,146
41,2016,165
41,2017,482
41,2018,354
41,2019,50
42,2015,8806
42,2016,13583
42,2017,14969
42,2018,15354
42,2019,2647
44,2015,5333
44,2016,6005
44,2017,5332
44,2018,5539
44,2019,867
46,2015,9295
46,2016,11715
46,2017,13957
46,2018,14204
46,2019,2446
45,2015,851
45,2016,1078
45,2017,1332
45,2018,1374
45,2019,241
47,2015,8296
47,2016,8894
47,2017,8409
47,2018,8902
47,2019,1476
49,2015,1288
49,2016,8474
49,2017,10817
49,2018,10625
49,2019,1658
48,2015,7341
48,2016,8172
48,2017,10024
48,2018,9249
48,2019,1432
50,2017,404
50,2018,497
50,2019,83
