uniqueID,A / B Otic,condition,rating,date,usefulCount
163740,Abacavir / dolutegravir / lamivudine,Depression,10,28-Feb-12,22
206473,Abacavir / dolutegravir / lamivudine,"Crohn's Disease, Maintenance",8,17-May-09,17
159672,Abacavir / dolutegravir / lamivudine,Urinary Tract Infection,9,29-Sep-17,3
39293,Abacavir / dolutegravir / lamivudine,Weight Loss,9,5-Mar-17,35
97768,Abacavir / dolutegravir / lamivudine,Birth Control,9,22-Oct-15,4
208087,Abacavir / dolutegravir / lamivudine,Keratosis,4,3-Jul-14,13
215892,Abacavir / dolutegravir / lamivudine,Birth Control,6,6-Jun-16,1
169852,Abacavir / dolutegravir / lamivudine,Migraine Prevention,9,21-Apr-09,32
23295,Abacavir / dolutegravir / lamivudine,Opiate Withdrawal,7,18-Oct-16,21
71428,Abacavir / dolutegravir / lamivudine,Birth Control,2,16-Apr-11,3
196802,Abacavir / dolutegravir / lamivudine,Hot Flashes,1,22-Feb-17,17
31947,Abacavir / dolutegravir / lamivudine,Vaginal Yeast Infection,6,7-May-15,7
4907,Abacavir / dolutegravir / lamivudine,Weight Loss,1,23-Sep-14,57
66736,Abacavir / dolutegravir / lamivudine,Schizoaffective Disorde,10,8-Oct-14,19
97013,Abacavir / dolutegravir / lamivudine,Insomnia,2,13-Jan-15,44
213376,Abacavir / dolutegravir / lamivudine,Narcolepsy,9,30-Jun-10,14
151674,Abacavir / dolutegravir / lamivudine,Smoking Cessation,10,14-Feb-15,26
33173,Abacavir / dolutegravir / lamivudine,Acne,3,22-Jun-17,1
30401,Abacavir / lamivudine,Bipolar Disorde,6,14-Jul-09,24
152490,Abacavir / lamivudine,Urinary Tract Infection,10,9-Jun-10,9
231397,Abacavir / lamivudine,Insomnia,1,18-Oct-16,15
38116,Abatacept,Irritable Bowel Syndrome,9,1-Jan-15,43
102969,Abatacept,Bipolar Disorde,1,10-Feb-10,27
12626,Abatacept,Keratoconjunctivitis Sicca,1,31-Dec-15,17
190527,Abatacept,Hyperhidrosis,9,30-May-17,10
229975,Abatacept,Bipolar Disorde,6,11-Feb-17,18
173391,Abatacept,Panic Disorde,10,19-Apr-08,47
35608,Abilify,"Onychomycosis, Fingernail",8,2-Jun-16,38
187230,Abilify,Narcolepsy,10,10-Jan-13,19
211675,Abilify,Bipolar Disorde,7,22-Nov-17,1
79865,Abilify,Birth Control,10,3-Nov-17,4
27607,Abilify,Rosacea,10,1-Apr-16,19
207923,Abilify,Bowel Preparation,8,18-Feb-15,15
156919,Abilify,"Constipation, Drug Induced",1,26-Aug-16,24
77164,Abilify,,5,27-May-14,21
101149,Abilify,"Diabetes, Type 2",4,9-Jun-10,42
178004,Abilify,Pain,9,27-Mar-12,32
60341,Abilify,Birth Control,7,17-Jun-11,0
141462,Abilify,Depression,9,29-Apr-14,32
133539,Abilify,Lipodystrophy,3,11-Jan-12,12
191095,Abilify,Alcohol Dependence,10,23-Aug-13,55
50229,Abilify,Bipolar Disorde,8,24-Sep-14,75
130301,Abilify,Emergency Contraception,10,28-Dec-13,20
101371,Abilify,Birth Control,1,13-Dec-15,6
79569,Abilify,Emergency Contraception,8,19-Jan-12,21
17957,Abilify,Birth Control,10,13-Dec-12,4
219567,Abilify,Birth Control,1,31-Oct-16,4
171525,Abilify,Major Depressive Disorde,8,6-Mar-15,49
173027,Abilify,Anxiety,6,24-Mar-13,20
202002,Abilify,Acne,4,26-Jan-17,2
143003,Abilify,Birth Control,3,15-Aug-17,0
31908,Abilify,Vaginal Yeast Infection,1,23-Jul-15,5
3350,Abilify,Bladder Infection,9,6-Jan-16,7
226299,Abilify,Birth Control,5,28-Aug-15,7
190325,Abilify,Birth Control,9,23-Dec-13,7
146651,Abilify,Benign Prostatic Hyperplasia,6,7-Aug-11,104
25240,Abilify,Rheumatoid Arthritis,9,20-Dec-13,75
5357,Abilify,Endometriosis,7,2-Feb-14,14
13407,Abilify,ADHD,2,20-May-15,57
46742,Abilify,Acne,8,13-Aug-16,32
11464,Abilify,Restless Legs Syndrome,1,4-Jun-16,16
124544,Abilify,Birth Control,10,14-Jul-15,3
229996,Abilify,"Conjunctivitis, Allergic",1,30-Nov-11,36
131523,Abilify,Anxiety,2,27-Aug-17,13
209386,Abilify,Raynaud's Syndrome,1,19-Jul-14,22
229572,Abilify,Schizophrenia,8,19-Feb-15,26
105440,Abilify,"Diabetes, Type 1",10,12-Feb-15,125
201582,Abilify,Depression,1,14-Jan-13,51
158346,Abilify,Schizophrenia,10,20-Apr-08,33
159659,Abilify,Kidney Infections,1,6-Dec-17,0
15423,Abilify,Birth Control,3,7-Feb-17,4
95748,Abilify,Major Depressive Disorde,10,2-Nov-14,88
6971,Abilify,Hyperhidrosis,7,5-Nov-15,5
131683,Abilify,Depression,1,24-Apr-16,18
188604,Abilify,Birth Control,1,29-Jan-16,4
19559,Abilify,Generalized Anxiety Disorde,10,31-Jul-13,228
104580,Abilify,Birth Control,9,16-Jul-11,4
26989,Abilify,Pain,10,24-Feb-12,36
128575,Abilify,Obesity,10,7-Jun-15,5
122089,Abilify,Depression,8,13-Dec-10,36
191146,Abilify,Alcohol Dependence,10,12-Nov-09,80
120889,Abilify,Depression,1,12-Oct-17,5
167387,Abilify,Emergency Contraception,10,20-Mar-16,14
204427,Abilify,Anxiety,4,13-Sep-15,17
58200,Abilify,Pain,8,20-Oct-08,21
147575,Abilify,Birth Control,10,11-Jan-11,9
181913,Abilify,Migraine Prevention,10,29-Jan-15,45
