NPI,Specialty,state_id,gender
1710982582,Dentist,43,M
1245278100,General Surgery,1,F
1427182161,General Practice,32,F
1669567541,Internal Medicine,3,M
1679650949,Hematology/Oncology,28,M
1548580897,General Surgery,38,M
1437192002,Family Practice,29,M
1407113988,Nurse Practitioner,38,F
1023260569,Optometry,43,M
1821106832,Internal Medicine,49,F
1659334472,General Surgery,43,M
1144205303,Family Practice,6,M
1548275050,Cardiology,35,M
1952598419,Hematology/Oncology,43,F
1780661793,General Surgery,35,M
1356388011,Internal Medicine,21,F
1588788921,Hematology/Oncology,7,M
1548238389,General Surgery,9,M
1366582587,Dentist,23,M
1083907059,Obstetrics/Gynecology,44,M
1598748931,Family Practice,1,F
1609121748,Nurse Practitioner,15,F
1063566727,Podiatry,13,F
1487630919,Physician Assistant,7,M
1194795351,Nurse Practitioner,9,F
1669671194,Diagnostic Radiology,32,M
1174555080,Internal Medicine,9,F
1508170895,Dentist,6,F
1871548537,Internal Medicine,26,F
1841349677,Nurse Practitioner,14,F
1801816095,Neurology,9,M
1629038443,General Surgery,46,M
1386607315,Neurology,9,F
1811005366,Internal Medicine,5,M
1902018518,Nurse Practitioner,28,F
1295852101,General Surgery,14,M
1467448381,Physician Assistant,37,F
1285675637,Family Practice,27,M
1669400792,Certified Nurse Midwife,22,F
1598863342,Nurse Practitioner,31,F
1891112496,Physician Assistant,38,M
1235270554,Dentist,5,M
1679630891,Nurse Practitioner,42,F
1235132788,Dentist,32,M
1346496197,Rheumatology,13,F
1922136613,Dentist,7,M
1316085228,Pharmacist,5,F
1295742583,Optometry,16,M
1235426800,Nurse Practitioner,38,F
1902866106,Obstetrics/Gynecology,18,F
1952353724,Cardiology,20,M
1043399322,Urology,43,M
1255471140,Cardiac Electrophysiology,13,M
1619975919,Physician Assistant,7,F
1023062759,Family Practice,22,M
1609867399,Internal Medicine,25,M
1225079817,Family Practice,15,F
1093777229,Dermatology,38,F
1134260607,Nurse Practitioner,29,F
1164544045,Family Practice,4,M
1538141569,Optometry,14,F
1902916729,Internal Medicine,5,M
1679647747,Dentist,49,M
1154304293,Dentist,42,F
1659395069,Podiatry,43,M
1114977758,Emergency Medicine,27,M
1912339961,Nurse Practitioner,33,F
1699933614,Physician Assistant,15,F
1174601066,Internal Medicine,5,M
1003893140,Psychiatry & Neurology,43,M
1104843101,Infectious Disease,23,F
1912114752,Psychiatry,35,M
1326073214,Physician Assistant,30,M
1144285164,Gastroenterology,1,M
1255327441,Podiatry,13,M
1316921752,Ophthalmology,13,M
1194739243,Cardiology,32,M
1609831783,Dentist,3,F
1871682567,Nurse Practitioner,42,F
1124108774,Thoracic Surgery,32,M
1386964930,Family Practice,1,F
1346403839,Internal Medicine,32,M
1184760480,Oral Surgery (dentists only),9,M
1457380826,Physician Assistant,32,F
1730245325,Psychiatry & Neurology,32,M
1013935303,Internal Medicine,38,M
1629152525,Dentist,42,M
1265477343,Emergency Medicine,43,M
1629099304,Anesthesiology,40,M
1205126695,Internal Medicine,33,F
1982602868,Orthopedic Surgery,7,M
1578724068,Internal Medicine,25,M
1144296245,Family Practice,50,M
1508982414,Internal Medicine,46,F
1316176233,Urology,35,M
1285792762,General Practice,5,M
1386962785,Anesthesiology,30,M
1457391989,Psychiatry & Neurology,19,M
1548413172,Internal Medicine,18,M
1932193117,Otolaryngology,30,M
1487933404,Physician Assistant,32,F
1063590743,Internal Medicine,5,M
1699740613,Neurology,35,M
1093901357,Internal Medicine,35,M
1588612477,Emergency Medicine,5,F
1881825461,Emergency Medicine,9,M
1528075702,Ophthalmology,3,M
1467427427,Family Practice,23,F
1437233327,Cardiology,33,M
1053405951,Anesthesiology,36,F
1528037371,Internal Medicine,19,M
1366495459,Family Practice,44,F
1720393101,Nurse Practitioner,5,F
1720089469,Pulmonary Disease,5,M
1467627729,Emergency Medicine,9,M
1154471449,Neuropsychiatry,43,M
1811335664,Student in an Organized Health Care Education/Training Program,38,F
1184619157,Cardiology,9,M
1689765588,Physical Therapist,16,F
1053492868,Family Practice,14,M
1609989268,Emergency Medicine,34,M
1881784809,Family Practice,32,F
1790753143,Nurse Practitioner,17,F
1588704753,Dentist,22,M
1750509907,Dentist,19,M
1356448336,Internal Medicine,5,M
1851463541,Dentist,10,M
1336181536,Nurse Practitioner,10,F
1497035588,Student in an Organized Health Care Education/Training Program,32,M
1700045713,Dermatology,49,M
1598779209,Ophthalmology,4,M
1629141379,Psychiatry & Neurology,7,M
1952497273,Psychiatry,32,M
1437209079,Psychiatry & Neurology,32,F
1619986395,Dentist,30,M
1235124835,Ophthalmology,5,M
1881699270,Otolaryngology,43,M
1588724504,General Surgery,43,M
1497708556,Internal Medicine,13,M
1154553097,Optometry,9,F
1962510818,Pediatric Medicine,40,F
1902989668,Gastroenterology,5,M
1760614101,Physician Assistant,22,M
1396955589,Otolaryngology,33,F
1073527669,Ophthalmology,43,M
1689664211,Internal Medicine,22,M
1184679599,Infectious Disease,35,M
1558575357,Dentist,32,M
1508931650,Family Practice,14,M
1245390210,Gastroenterology,43,M
1649533845,Internal Medicine,25,M
1376703926,Psychiatry,46,F
1447298526,Physical Medicine and Rehabilitation,22,M
1700874153,Family Practice,3,F
1184638702,Family Practice,10,F
1356360556,Oral Surgery (dentists only),21,M
1619082526,Dentist,18,M
1477686616,Psychiatry,8,F
1659371177,General Surgery,22,M
1518951136,Ophthalmology,49,F
1285706093,General Surgery,5,F
1760424683,Nurse Practitioner,5,F
1497766810,Emergency Medicine,27,M
1063467157,Emergency Medicine,35,M
1972579928,Internal Medicine,35,M
1699853770,Obstetrics/Gynecology,5,F
1710154299,Emergency Medicine,5,M
1932542842,Student in an Organized Health Care Education/Training Program,14,M
1093721847,Internal Medicine,49,M
1851458723,General Surgery,43,M
1063617975,Family Practice,20,M
1144333055,Family Practice,43,M
1801860630,Urology,32,M
1154472579,Family Practice,38,M
1316956899,Internal Medicine,5,M
1184667842,Family Practice,5,F
1295856854,Dentist,43,M
1962798900,Student in an Organized Health Care Education/Training Program,38,M
1831278092,Physician Assistant,22,F
1184839037,Dentist,22,F
1871685800,Dentist,9,M
1558311050,Cardiology,5,F
1063464808,Internal Medicine,30,M
1447398615,Dentist,22,M
1487841177,Orthopedic Surgery,5,M
1063475432,Physician Assistant,13,M
1346294717,Internal Medicine,44,M
1437186061,Emergency Medicine,47,M
1326167164,Dentist,20,F
1669558797,Cardiology,22,M
1003813155,Internal Medicine,7,F
1114173721,Maxillofacial Surgery,5,M
1760767867,Nurse Practitioner,13,F
1104835941,Certified Clinical Nurse Specialist,31,F
1083671184,Preventive Medicine,35,M
1023360765,Physician Assistant,23,F
1285617332,Infectious Disease,42,M
1992771174,Otolaryngology,4,M
1467718734,Student in an Organized Health Care Education/Training Program,42,F
1487918330,Family Practice,13,M
1811156482,Rheumatology,49,M
1285693804,Dermatology,22,F
1578819355,Dentist,43,M
1649208638,Neuropsychiatry,5,F
1932410776,Family Practice,43,M
1174741524,Dentist,5,M
1770716300,Physician Assistant,35,M
1487623195,Nurse Practitioner,20,F
1790746642,Physician Assistant,32,F
1689994428,Physical Medicine and Rehabilitation,14,F
1992139281,Physician Assistant,13,F
1609127893,Internal Medicine,38,M
1407852148,Allergy/Immunology,5,M
1104093236,General Surgery,32,M
1922063064,Ophthalmology,40,M
1861588873,Psychiatry,23,M
1831388396,Family Practice,43,M
1649373424,Family Practice,37,F
1306886064,Diagnostic Radiology,17,M
1740249861,Family Practice,19,M
1972540680,Pulmonary Disease,39,F
1902899230,Physician Assistant,50,M
1548277015,Hand Surgery,32,M
1992821300,Internal Medicine,43,M
1831118678,Emergency Medicine,48,F
1861586836,Ophthalmology,5,M
1144200999,Pulmonary Disease,42,M
1063667889,Family Practice,33,M
1659390201,Dentist,43,M
